item_id,title,category,description,price,image_url
B019592A6I,"Crayola Ultra Clean Fine Line Washable Markers, Kids Markers For School, Back To School Gifts, 40 Count",MARKING_PEN,,18.49,
B019QWPTLW,"Dried Cantaloupe Spears, 16oz Bag",FRUIT,,13.19,
B019ZW9XBA,"Anthony's Organic Ground Ginger Root, 1 lb, Gluten Free, Non GMO, Keto Friendly",HERB,,10.99,
B01A4ZY02Y,"Rainleaf Microfiber Towel Perfect Travel & Sports &Beach Towel. Fast Drying - Super Absorbent - Ultra Compact. Suitable for Camping, Backpacking,Gym, Beach, Swimming,Yoga",TOWEL,,15.99,
B01CU1EC6Y,"Anker PowerCore 5000 Portable Charger, Ultra-Compact 5000mAh External Battery with Fast-Charging Technology, Power Bank for iPhone, iPad, Samsung Galaxy and More",POWER_BANK,,18.99,
B01DLD4YY0,"Utopia Towels Soft Cotton Machine Washable, Extra Large Bath Towel, ( 30 x 56 inches ), Luxury fancy navy strip towel",TOWEL,,11.99,
B01DN8TB5U,"Amazon Basics Classic Blank Notebook, 240 Pages, Hardcover - 5 x 8.25-Inch, Blank Pages",BLANK_BOOK,,9.84,
B01DRDD56M,Travel Size Foam Roller (High Density EPE (Green)),MUSCLE_ROLLER,,9.95,
B01GC4UGLK,ALITOVE DC 24V 32.8ft 5050 SMD LED Flexible Strip Light Warm White 10M 600 LEDs 60LEDs/M IP65 Waterproof LED Rope Light Strips for Home Garden Commercial Area Lighting,STRING_LIGHT,,27.99,
B01GC6VS8I,ALITOVE AC 100-240V to DC 24V 5A Power Supply Adapter Converter with 5.5 x 2.1mm 2.5mm DC Output Jack for 5050 3528 LED Strip Module Light,POWER_CONVERTER,,19.99,
B01HRKVG7Q,"Tasodin Water-Resistance IP65, 12V Waterproof Flexible LED Strip Light, 16.4ft/5m Cuttable LED Light Strips, 300 Units 3528 LEDs Lighting String, LED Tape(Warm White), Power Adapter not Included",STRING_LIGHT,,8.98,
B01IE9P1KC,"E-FA Black Tapioca Pearl Boba, 2.2 Pound",FOOD,,9.99,
B01K6PAS50,OtterBox DEFENDER SERIES Case for iPhone SE (3rd and 2nd gen) and iPhone 8/7 - Frustration Free Packaging - BLACK,CELLULAR_PHONE_CASE,,29.94,
B01LFFGW5K,"VIVA Choose-A-Sheet* Paper Towels, White, Big Plus Roll, 24 Count",PAPER_TOWEL,,28.99,
B01LRKM44G,Gem Gem All Natural Chewy Ginger Candy Variety Bundle Pack 1.25oz,CANDY,,9.99,
B01LT57TH6,"Bersuse 100% Cotton Anatolia Turkish Hand Towel - 23x43 Inches, Dark Blue",TOWEL,,14.98,
B01M0GB8CC,"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",HEADPHONES,,18.59,
B01M6YMH52,"Grab Green Stoneworks Laundry Detergent Pods, 50 Count, Birch Branch Scent, Plant and Mineral Based, Cleans Deeply, Eliminates Odors, Fights Stains, Softens Naturally, Packaging may vary",HEALTH_PERSONAL_CARE,,10.58,
B01N0FSG8Q,100 Black Tokettes Type 1 - Greenwald (Gi) Laundry Tokens,LAUNDRY_DETERGENT,,32.42,
B01N3SM8C2,"Nike Mens Flex 2017 RN Running Shoe (7.5 D(M) US, Black/Metallic Hematite/Anthracite/Dark Grey)",SHOES,,60.15,
B01N590YOT,"tomtoc 360° Protective Laptop Sleeve for 13-inch MacBook Air M2/A2681 M1/A2337 2018-2022, MacBook Pro M2/A2686 M1/A2338 2016-2022, Water-Resistant Case for 12.9 iPad Pro 6th/5th/4th/3rd Gen, Black",PORTABLE_ELECTRONIC_DEVICE_COVER,,25.99,
B01NBYY28W,"Scott 1000 Sheets Per Roll Toilet Paper, 27 Rolls, Bath Tissue",TOILET_PAPER,,17.52,
B06WGQ962H,Nike Women's Air Zoom Pegasus 34 Running Shield Shoe,SHOES,,124.95,
